name,base,peptides%,time,Rad1,Rad2,Rad3,Rad4,Rad5,Rad6,,,,,,,,,,,,
h7,[H]C(CC1=CN=CN1)(C(NC(CC2=CN=CN2)(C(NC(CC3=CN=CN3)(C(NC(CC4=CN=CN4)(C(NC(CC5=CN=CN5)(C(NC(CC6=CN=CN6)(C(NC(CC7=CN=CN7)C(N)=O)=O)[H])=O)[H])=O)[H])=O)[H])=O)[H])=O)NC(C)=O,50,5,3066431,236933.69,464076.72,,,,,,,,,,,,,,,
h7,[H]C(CC1=CN=CN1)(C(NC(CC2=CN=CN2)(C(NC(CC3=CN=CN3)(C(NC(CC4=CN=CN4)(C(NC(CC5=CN=CN5)(C(NC(CC6=CN=CN6)(C(NC(CC7=CN=CN7)C(N)=O)=O)[H])=O)[H])=O)[H])=O)[H])=O)[H])=O)NC(C)=O,100,5,540443.75,354421.47,272180.03,,,,,,,,,,,,,,,
h8,[H]C(CC1=CN=CN1)(C(NC(CC2=CN=CN2)(C(NC(CC3=CN=CN3)(C(NC(CC4=CN=CN4)(C(NC(CC5=CN=CN5)(C(NC(CC6=CN=CN6)(C(NC(CC7=CN=CN7)C(NC(CC8=CN=CN8)C(N)=O)=O)=O)[H])=O)[H])=O)[H])=O)[H])=O)[H])=O)NC(C)=O,5,5,2749214,2692428.2,3029226.5,,,,,,,,,,,,,,,
h8,[H]C(CC1=CN=CN1)(C(NC(CC2=CN=CN2)(C(NC(CC3=CN=CN3)(C(NC(CC4=CN=CN4)(C(NC(CC5=CN=CN5)(C(NC(CC6=CN=CN6)(C(NC(CC7=CN=CN7)C(NC(CC8=CN=CN8)C(N)=O)=O)=O)[H])=O)[H])=O)[H])=O)[H])=O)[H])=O)NC(C)=O,10,5,7899095,13536550,12236352,,,,,,,,,,,,,,,
h8,[H]C(CC1=CN=CN1)(C(NC(CC2=CN=CN2)(C(NC(CC3=CN=CN3)(C(NC(CC4=CN=CN4)(C(NC(CC5=CN=CN5)(C(NC(CC6=CN=CN6)(C(NC(CC7=CN=CN7)C(NC(CC8=CN=CN8)C(N)=O)=O)=O)[H])=O)[H])=O)[H])=O)[H])=O)[H])=O)NC(C)=O,20,5,10194023,4875743,6379586.5,,,,,,,,,,,,,,,
h8,[H]C(CC1=CN=CN1)(C(NC(CC2=CN=CN2)(C(NC(CC3=CN=CN3)(C(NC(CC4=CN=CN4)(C(NC(CC5=CN=CN5)(C(NC(CC6=CN=CN6)(C(NC(CC7=CN=CN7)C(NC(CC8=CN=CN8)C(N)=O)=O)=O)[H])=O)[H])=O)[H])=O)[H])=O)[H])=O)NC(C)=O,50,5,4262848,7904969.5,6105448,,,,,,,,,,,,,,,
h8,[H]C(CC1=CN=CN1)(C(NC(CC2=CN=CN2)(C(NC(CC3=CN=CN3)(C(NC(CC4=CN=CN4)(C(NC(CC5=CN=CN5)(C(NC(CC6=CN=CN6)(C(NC(CC7=CN=CN7)C(NC(CC8=CN=CN8)C(N)=O)=O)=O)[H])=O)[H])=O)[H])=O)[H])=O)[H])=O)NC(C)=O,100,5,3117342.5,1349151.4,1633080.1,,,,,,,,,,,,,,,
FH8,CC(NC(CC1=CN=CN1)C(NC(CC2=CN=CN2)C(NCCCCC(C(NC(C(NC(C(NC(C(NC(C(N)=O)([H])CC3=CN=CN3)=O)([H])CC4=CN=CN4)=O)([H])CCCCNC(C(NC(C(NC(C)=O)CC5=CN=CN5)=O)CC6=CN=CN6)=O)=O)([H])CC7=CN=CN7)=O)([H])NC(C(CC8=CN=CN8)([H])NC(C)=O)=O)=O)=O)=O,5,5,9614417,1167045.2,1521466.8,,,,,,,,,,,,,,,
FH8,CC(NC(CC1=CN=CN1)C(NC(CC2=CN=CN2)C(NCCCCC(C(NC(C(NC(C(NC(C(NC(C(N)=O)([H])CC3=CN=CN3)=O)([H])CC4=CN=CN4)=O)([H])CCCCNC(C(NC(C(NC(C)=O)CC5=CN=CN5)=O)CC6=CN=CN6)=O)=O)([H])CC7=CN=CN7)=O)([H])NC(C(CC8=CN=CN8)([H])NC(C)=O)=O)=O)=O)=O,10,5,5972295.5,977106.69,397500.31,,,,,,,,,,,,,,,
FH8,CC(NC(CC1=CN=CN1)C(NC(CC2=CN=CN2)C(NCCCCC(C(NC(C(NC(C(NC(C(NC(C(N)=O)([H])CC3=CN=CN3)=O)([H])CC4=CN=CN4)=O)([H])CCCCNC(C(NC(C(NC(C)=O)CC5=CN=CN5)=O)CC6=CN=CN6)=O)=O)([H])CC7=CN=CN7)=O)([H])NC(C(CC8=CN=CN8)([H])NC(C)=O)=O)=O)=O)=O,20,5,7086471,6101532,4196272,,,,,,,,,,,,,,,
FH8,CC(NC(CC1=CN=CN1)C(NC(CC2=CN=CN2)C(NCCCCC(C(NC(C(NC(C(NC(C(NC(C(N)=O)([H])CC3=CN=CN3)=O)([H])CC4=CN=CN4)=O)([H])CCCCNC(C(NC(C(NC(C)=O)CC5=CN=CN5)=O)CC6=CN=CN6)=O)=O)([H])CC7=CN=CN7)=O)([H])NC(C(CC8=CN=CN8)([H])NC(C)=O)=O)=O)=O)=O,50,5,3319029.8,1454890.4,1823018.8,,,,,,,,,,,,,,,
FH8,CC(NC(CC1=CN=CN1)C(NC(CC2=CN=CN2)C(NCCCCC(C(NC(C(NC(C(NC(C(NC(C(N)=O)([H])CC3=CN=CN3)=O)([H])CC4=CN=CN4)=O)([H])CCCCNC(C(NC(C(NC(C)=O)CC5=CN=CN5)=O)CC6=CN=CN6)=O)=O)([H])CC7=CN=CN7)=O)([H])NC(C(CC8=CN=CN8)([H])NC(C)=O)=O)=O)=O)=O,100,5,583522.62,156650.38,234975.56,,,,,,,,,,,,,,,
F2H8,[H]C(CC1=CN=CN1)(C(NC(CC2=CN=CN2)(C(NC(CCCCNC(C(CC3=CN=CN3)NC(C(CC4=CN=CN4)NC(C)=O)=O)=O)(C(NC(CCCCNC(C(CC5=CN=CN5)NC(C(CC6=CN=CN6)NC(C)=O)=O)=O)(C(NC(CC7=CN=CN7)(C(NC(CC8=CN=CN8)(C(N)=O)[H])=O)[H])=O)[H])=O)[H])=O)[H])=O)NC(C)=O,5,5,18784338,2506406,13234998,,,,,,,,,,,,,,,
