Train_meas,Train_preds
11.57793827090776,11.597769541133477
12.14220706301621,11.6748526424612
13.453121885626544,14.273373219172338
12.139871013547932,14.58638882224063
14.682535262868628,13.917515735346981
17.163364359376843,15.35579707062004
15.345815560968768,15.191490316545615
11.838513741970326,11.60386070934814
12.857833735402858,13.00622586232147
12.684777654286732,11.930017355013858
12.535282335303165,12.644769766431356
11.459797375238642,11.585928313737885
16.376705985260244,14.622906101447015
11.149464911970945,11.586495819007597
11.630128942051067,11.831788723515738
13.862368262327307,13.416966885779233
17.277038734586537,17.373058253485954
16.941206180351987,15.632473338721717
11.230714898876863,11.285508167308258
11.84877989480708,11.812593698865332
15.056300378241701,14.930036283459593
11.329931740733768,11.604177935756773
15.83844967350549,13.931649050828835
15.591047418359603,14.273555466644668
11.744154055051416,11.867537767066535
11.256451787386261,11.06638997611736
17.36877801379467,16.184711958813775
16.844913080435173,15.976932232997664
11.152282580866702,10.754411203604596
12.969462170746235,12.771054984254128
12.174469930549202,12.242469347228534
12.561738988545999,12.593125645571526
11.898177585673068,12.434078402089952
16.364323521377084,15.385990149758547
11.389128873083331,11.298783723894871
17.750451118045316,17.392811471740973
11.734415580608333,13.279952280581568
11.159123123059382,11.761674078507568
15.735236342824777,15.145453149614372
11.451812955405453,11.843288055565514
11.170305018817288,12.008307470971848
14.85219916532182,15.687287289539135
12.838759793408222,13.353299635046351
11.358283510204265,11.278509974191895
11.246978277205884,11.578708700775568
11.63031903937547,12.258810492445441
12.908149399546838,13.410973464725636
12.199651318685078,12.335399778789714
11.306995394638856,11.741331597873234
11.669150402975312,12.113152116587056
11.677345263342913,11.65992037329897
15.624691331190078,15.145609497698404
11.169380339390903,11.44284357289867
11.228607426621863,12.577311485265579
16.207694832571235,15.575096751469264
16.798655121067053,16.313207745558344
14.215856370570569,13.84867276453667
14.196482694448497,14.52298843609216
12.554803543037798,12.926955016488538
11.247444809644032,11.242814722330094
11.127234438277583,11.028887406827973
14.968085317290466,15.739181505636946
14.110183576390225,14.07778712989922
11.215967634272511,11.452124445881324
11.740615966023897,12.14626241418673
13.014724374164532,12.530848204590098
16.368804756402785,15.34244625014753
12.095983545971523,11.953604184724734
16.57498410372864,15.810658046230298
11.38057347593787,11.298602145358565
14.450638668980448,13.940233686079992
14.09598134565965,14.707200835995549
11.274663227443014,11.15504585690731
11.496470691350135,11.385493775628333
16.095363867181277,15.574912367148247
17.61061432639807,17.55014733025836
16.634099394949004,15.667948596740635
12.767726484029255,13.009956184533204
12.85483418892835,12.833834535720905
11.296872220348254,11.249327436766883
12.058417425733523,12.053306045335859
14.466085902292093,14.053634012003155
11.928231950434332,12.125846293824807
11.54584391292637,13.51524677273688
11.567647709730652,11.023609793984704
12.392283320169808,12.311914792647343
11.505906567629522,11.490437028395801
15.830084246638812,15.646545768858758
11.255342519486327,11.375463970362757
12.210896501741564,11.835909364784158
11.398653526976828,12.050982494663886
14.761315123520047,14.666902669064875
14.681405413186082,13.648088881000572
12.066084490628777,11.785539461946406
15.551189251289488,15.589489735478969
11.149233956055667,11.709182044928479
11.972256074788653,12.02449154379981
11.282098457082236,11.814672545741994
11.222275615144648,11.313657358745335
11.08261932248363,11.825110415327957
15.937373204617375,15.722017879624705
11.234428999024454,11.518213142389563
11.249061461613048,11.76881299930793
11.160047802485769,11.13984002292393
11.140100948812346,11.300541680205312
11.252599531697237,10.866420070955892
12.460089643609654,12.498657125506707
13.295572676343255,12.399319501792146
12.529521147021198,12.259165546296307
15.710486277021777,15.521435898152006
15.647090973904213,14.829188973146092
15.549151848827918,14.953922305346225
11.16735397025665,11.31376004143557
12.991250511306403,11.873923008295531
11.232669939402891,11.992277296176468
12.519323245157643,13.290240655044716
12.11276942975048,11.53963637427273
11.8968133249923,12.001605753870074
12.793813244565207,12.463526132435403
11.133229781816473,12.166627147297502
12.608269339932283,12.417566372325872
14.523071108555987,13.360238795839546
14.765045429657215,14.556392591051619
11.193487230147076,11.025394070585714
13.543798988629973,13.457901360350851
14.90310221834622,14.88441269612984
13.080689556745854,13.408861996807829
13.361445760943107,12.371274946807304
14.20754638676747,13.624459459317116
13.926595124557155,13.515084378010343
11.00659608743176,11.319716979954505
16.638166454846594,15.50552557431726
11.1086065117151,11.065816264658276
11.105817073700635,11.172703344081308
11.961963647294029,11.837508143894526
11.436759474426976,11.537467607064869
12.571693568460168,11.992202103394073
11.51053629909017,11.422284282318168
15.33906338220794,15.152142555078008
15.56211778297452,15.474512361440947
11.356079256491237,11.469618544489053
13.851248251324856,13.590998465181636
11.70247554315561,13.172710437817656
13.352125462123295,12.716380651800938
11.08343729992246,11.20464723298806
11.94203327729839,12.00810316343597
12.271992321759692,12.460219192061452
17.883161061655684,16.56306316710606
12.595887204992692,11.527896273861487
12.210746629379338,11.752356829172651
13.051961515844352,11.990557004401595
15.105567629636633,12.626435026865243
11.652639299809083,11.90347657811593
13.910261761021355,13.618641318161012
11.477827215048373,11.844843590956758
15.332978737061874,15.208486938747638
16.301944278918867,14.438250585684994
15.775512829964844,12.669020637568096
16.673039253271252,16.783115212275803
11.965655210730228,11.17220680608565
11.120512536923277,12.76685133978667
11.218350210290344,11.821563376972291
13.275671471451666,13.14902991298161
11.376483429965399,11.300696171645411
12.612596498173838,12.476011127662488
11.893598589399277,11.947822465835868
11.592808804819454,14.258078225522564
12.18008035597277,12.036214941738136
12.598451701831651,12.4674278756856
11.228254862952042,11.728204764361696
15.464374181656055,14.7498440573365
14.91610079175529,14.532679503919123
14.540542854946311,14.315876428031846
14.768123308562847,14.346186847038728
17.246746651646813,16.787906985999843
11.143393150159435,11.624310008658556
11.69827395346338,11.910581945018102
11.318869175843147,11.244386575704134
13.154629140801653,12.666742451841497
13.367497904640894,13.851188770870571
11.220234376549426,11.609466313216634
11.324148883319737,11.346418419486112
11.623039178611236,11.706525995022337
12.25154730879495,12.083265590212225
